N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
126,한미사이언스,"37,100","하락
				950",-2.50%,500,"25,373","68,392",1.93,"836,079",21.89,15.23,
127,한화생명,"2,895","하락
				35",-1.19%,"5,000","25,144","868,530",10.73,"1,318,068",3.65,5.43,
128,에스원,"65,700","상승
				300",+0.46%,500,"24,965","37,999",55.80,"22,030",13.54,12.14,
129,롯데지주,"23,350","하락
				100",-0.43%,200,"24,496","104,909",7.56,"55,270",-8.58,-0.22,
130,금양,"41,400","상승
				400",+0.98%,500,"24,033","58,050",9.94,"352,307",-26.15,-38.52,
131,한올바이오파마,"44,950","상승
				2,750",+6.52%,500,"23,482","52,241",6.19,"1,018,616",-377.73,1.98,
132,대한전선,"12,370","상승
				60",+0.49%,"1,000","23,064","186,447",7.47,"1,378,715",19.76,7.83,
133,한화인더스트리얼솔루션즈,"45,450","상승
				3,450",+8.21%,500,"22,947","50,488",20.61,"4,322,315",N/A,N/A,
134,RISE 머니마켓액티브,"53,200","상승
				10",+0.02%,0,"22,939","43,118",0.44,"360,102",N/A,N/A,
135,KODEX 레버리지,"15,945","하락
				50",-0.31%,0,"22,865","143,400",0.00,"20,351,564",N/A,N/A,
136,F&F,"58,800","하락
				2,200",-3.61%,100,"22,525","38,307",12.56,"88,572",5.77,38.43,
137,휠라홀딩스,"37,450","상승
				250",+0.67%,"1,000","22,506","60,096",44.54,"90,095",19.53,2.25,
138,농심,"364,500",보합0,0.00%,"5,000","22,171","6,083",19.10,"8,452",13.15,7.26,
139,KCC,"249,000","상승
				5,500",+2.26%,"5,000","22,127","8,886",13.67,"31,220",4.00,4.13,
140,KODEX 200TR,"11,950","하락
				15",-0.13%,0,"22,102","184,950",0.00,"206,513",N/A,N/A,
141,한화,"29,100","상승
				750",+2.65%,"5,000","21,813","74,959",12.36,"315,653",-11.14,3.52,
142,GS리테일,"20,800","하락
				800",-3.70%,"1,000","21,781","104,718",8.19,"586,589",49.41,0.44,
143,한온시스템,"4,040","하락
				180",-4.27%,100,"21,566","533,800",8.34,"1,901,771",-17.12,2.21,
144,SK아이이테크놀로지,"30,100","상승
				650",+2.21%,"1,000","21,461","71,298",7.60,"279,372",-31.75,3.58,
145,제일기획,"18,030","상승
				10",+0.06%,200,"20,742","115,041",21.94,"171,387",10.88,14.99,
146,KODEX 머니마켓액티브,"101,040","상승
				25",+0.02%,0,"20,502","20,291",0.00,"147,996",N/A,N/A,
147,CJ대한통운,"88,300","상승
				2,100",+2.44%,"5,000","20,143","22,812",12.86,"83,817",8.84,6.27,
148,한전KPS,"44,700","하락
				100",-0.22%,200,"20,115","45,000",14.13,"62,531",11.23,13.08,
149,이수페타시스,"31,750","하락
				1,950",-5.79%,"1,000","20,081","63,246",11.76,"3,776,314",35.84,19.51,
150,현대엘리베이,"50,800","상승
				3,400",+7.17%,"5,000","19,859","39,092",27.57,"477,555",42.26,26.15,
151,KODEX 미국S&P500TR,"18,900","하락
				20",-0.11%,0,"19,817","104,850",0.86,"3,088,299",N/A,N/A,
152,씨에스윈드,"46,750","하락
				6,150",-11.63%,500,"19,715","42,171",15.16,"2,459,219",33.25,2.24,
153,아모레G,"23,750","하락
				150",-0.63%,500,"19,584","82,458",10.39,"97,341",8.28,3.57,
154,팬오션,"3,620","하락
				5",-0.14%,"1,000","19,351","534,570",13.13,"1,142,358",9.21,5.32,
155,TIGER 차이나전기차SOLACTIVE,"9,505","하락
				30",-0.31%,0,"19,219","202,200",0.57,"2,451,251",N/A,N/A,
156,SK가스,"206,500","상승
				500",+0.24%,"5,000","19,060","9,230",6.83,"8,585",8.79,12.85,
157,산일전기,"62,500","상승
				7,300",+13.22%,500,"19,028","30,445",6.80,"3,470,448",7.10,47.00,
158,TIGER 200,"34,170","하락
				25",-0.07%,0,"18,981","55,550",10.52,"1,146,630",N/A,N/A,
159,BGF리테일,"109,800","하락
				6,500",-5.59%,"1,000","18,978","17,284",31.87,"80,898",9.96,19.23,
160,에이피알,"49,200","하락
				1,300",-2.57%,100,"18,752","38,113",13.91,"371,228",20.07,54.88,
161,더존비즈온,"61,700","상승
				300",+0.49%,500,"18,746","30,383",10.49,"222,269",42.88,8.19,
162,영원무역,"41,250","하락
				700",-1.67%,500,"18,278","44,311",28.77,"40,529",3.73,17.03,
163,녹십자,"154,200","상승
				200",+0.13%,"5,000","18,021","11,687",20.53,"36,941",-47.18,-2.03,
164,롯데쇼핑,"63,200","하락
				800",-1.25%,"5,000","17,878","28,289",8.15,"50,465",-415.79,1.83,
165,풍산,"63,700","상승
				400",+0.63%,"5,000","17,851","28,024",20.54,"244,828",8.69,8.22,
166,대웅제약,"151,700","하락
				300",-0.20%,"2,500","17,577","11,587",9.02,"14,660",19.34,17.70,
167,코스맥스,"154,100","하락
				1,400",-0.90%,500,"17,490","11,350",32.43,"129,310",24.00,12.11,
168,ACE 미국30년국채액티브(H),"8,195","상승
				55",+0.68%,0,"17,226","210,200",0.00,"3,102,417",N/A,N/A,
169,HL만도,"36,500","하락
				50",-0.14%,"1,000","17,139","46,957",26.54,"99,510",8.90,6.18,
170,KODEX 24-12 은행채(AA+이상)액티브,"10,460","하락
				5",-0.05%,0,"17,059","163,090",0.00,"44,051",N/A,N/A,
171,이마트,"60,900","하락
				2,100",-3.33%,"5,000","16,976","27,876",18.16,"122,588",-12.92,-0.79,
172,TIGER 미국배당다우존스,"12,825","하락
				140",-1.08%,0,"16,313","127,200",0.00,"1,713,404",N/A,N/A,
173,오뚜기,"404,500","하락
				1,500",-0.37%,"5,000","16,212","4,008",12.16,"1,309",9.71,8.55,
174,KODEX 1년은행양도성예금증서+액티브(합성),"1,020,015","상승
				95",+0.01%,0,"16,176","1,586",0.00,"31,520",N/A,N/A,
175,한국앤컴퍼니,"16,860","하락
				410",-2.37%,500,"16,006","94,935",9.41,"88,548",4.69,4.76,
176,DB하이텍,"36,000","하락
				100",-0.28%,"5,000","15,983","44,399",22.47,"157,542",7.43,15.65,
177,LG화학우,"207,000","하락
				2,500",-1.19%,"5,000","15,916","7,689",54.91,"13,599",102.12,N/A,
178,호텔신라,"39,950","하락
				150",-0.37%,"5,000","15,680","39,248",13.58,"81,297",-115.80,14.98,
179,GS건설,"18,230","상승
				30",+0.16%,"5,000","15,602","85,581",22.50,"212,497",-9.80,-10.54,
180,대우건설,"3,705","상승
				35",+0.95%,"5,000","15,399","415,623",11.47,"638,602",3.87,13.19,
181,롯데에너지머티리얼즈,"33,200","상승
				150",+0.45%,500,"15,309","46,111",8.98,"131,382",278.99,-2.25,
182,KODEX 단기채권PLUS,"112,445","상승
				20",+0.02%,0,"14,738","13,107",0.00,"214,765",N/A,N/A,
183,에스엘,"31,600","하락
				350",-1.10%,500,"14,678","46,449",16.81,"67,732",3.90,18.83,
184,KODEX 코스닥150레버리지,"8,660","상승
				300",+3.59%,0,"14,454","166,900",0.03,"30,350,213",N/A,N/A,
185,한국콜마,"61,200","하락
				5,300",-7.97%,500,"14,446","23,605",35.62,"1,279,749",245.78,0.79,
186,HD현대인프라코어,"7,380","상승
				30",+0.41%,"1,000","14,218","192,656",11.60,"1,134,052",10.84,13.37,
187,HDC현대산업개발,"21,500","상승
				200",+0.94%,"5,000","14,170","65,907",12.82,"204,717",7.26,5.87,
188,하이트진로,"20,200","하락
				150",-0.74%,"5,000","14,167","70,134",9.08,"136,424",16.48,3.16,
189,대웅,"24,300","하락
				1,100",-4.33%,500,"14,128","58,142",5.52,"85,272",11.95,17.31,
190,RISE 종합채권(A-이상)액티브,"106,380","상승
				200",+0.19%,0,"14,113","13,267",0.00,397,N/A,N/A,
191,ACE 미국S&P500,"20,840","하락
				25",-0.12%,0,"14,088","67,600",0.40,"546,880",N/A,N/A,
192,DGB금융지주,"8,270","상승
				30",+0.36%,"5,000","13,988","169,146",42.56,"231,221",6.14,6.73,
193,신세계,"141,500","하락
				8,100",-5.41%,"5,000","13,931","9,845",15.82,"43,731",6.90,5.41,
194,KODEX 미국나스닥100TR,"19,530","상승
				110",+0.57%,0,"13,925","71,300",0.09,"795,339",N/A,N/A,
195,종근당,"104,600","상승
				2,100",+2.05%,"2,500","13,780","13,174",15.67,"25,406",6.48,29.56,
196,일진전기,"28,850","상승
				1,100",+3.96%,"1,000","13,757","47,685",8.69,"1,003,544",27.14,9.65,
197,한솔케미칼,"121,000","상승
				1,600",+1.34%,"5,000","13,716","11,335",41.55,"36,186",11.78,13.10,
198,동원시스템즈,"47,050","하락
				550",-1.16%,"5,000","13,640","28,991",14.38,"70,996",19.35,8.56,
199,효성티앤씨,"311,000","하락
				3,000",-0.96%,"5,000","13,459","4,328",14.85,"17,306",10.29,7.46,
200,KODEX 200선물인버스2X,"2,305","상승
				15",+0.66%,0,"13,438","583,000",0.64,"113,916,952",N/A,N/A,
